,AGREEMENT_RK,TARGET,AGE,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,GENDER,CHILD_TOTAL,DEPENDANTS,PERSONAL_INCOME,FL_PRESENCE_FL,OWN_AUTO,FAMILY_INCOME,CREDIT,TERM,FST_PAYMENT,WORK_TIME,LOAN_NUM_TOTAL,LOAN_NUM_CLOSED
0,59910150,0,49,1,0,1,2,1,5000.0,0,0,от 10000 до 20000 руб.,8000.0,6,8650.0,18.0,2,2.0
1,59910230,0,32,1,0,1,3,3,12000.0,0,0,от 10000 до 20000 руб.,21650.0,6,4000.0,97.0,1,1.0
2,59910525,0,52,1,0,1,4,0,9000.0,0,0,от 10000 до 20000 руб.,33126.0,12,4000.0,84.0,2,1.0
3,59910803,0,39,1,0,1,1,1,25000.0,1,0,от 20000 до 50000 руб.,8491.82,6,5000.0,168.0,1,1.0
4,59911781,0,30,1,0,0,0,0,12000.0,0,0,от 10000 до 20000 руб.,21990.0,12,4000.0,101.0,2,1.0
5,59911784,0,29,1,0,0,0,0,12000.0,0,1,от 20000 до 50000 руб.,30615.0,12,3500.0,40.0,2,1.0
6,59911832,0,35,1,0,0,1,1,15000.0,1,0,от 20000 до 50000 руб.,10450.0,3,15000.0,6.0,2,2.0
7,59912034,0,41,1,0,1,0,0,6000.0,1,0,от 10000 до 20000 руб.,15035.0,10,465.0,6.0,2,1.0
8,59912560,0,53,1,0,0,2,0,100000.0,0,0,свыше 50000 руб.,32914.31,4,29080.92,156.0,1,1.0
9,59912659,0,43,1,0,1,0,0,7000.0,1,0,от 10000 до 20000 руб.,4440.0,6,540.0,72.0,1,1.0
10,59912692,0,54,1,0,1,2,0,19000.0,1,0,от 20000 до 50000 руб.,5160.0,3,600.0,120.0,1,1.0
11,59913108,1,26,1,0,0,0,0,18000.0,0,0,от 10000 до 20000 руб.,11751.0,4,8389.0,27.0,2,1.0
12,59913134,1,62,0,1,0,3,0,7000.0,0,1,от 10000 до 20000 руб.,11160.0,3,2790.0,48.0,1,1.0
13,59913205,0,45,1,0,1,3,1,12000.0,0,0,от 10000 до 20000 руб.,5770.0,9,1020.0,72.0,1,1.0
14,59913395,0,38,1,0,1,0,1,20000.0,0,0,от 20000 до 50000 руб.,14513.0,5,1462.0,120.0,2,1.0
15,59913542,1,41,1,0,1,0,0,60000.0,1,0,свыше 50000 руб.,79910.0,5,19990.0,168.0,1,1.0
16,59913603,0,65,0,1,1,2,0,10000.0,1,0,от 20000 до 50000 руб.,4039.0,3,500.0,,1,1.0
17,59913652,0,29,1,0,1,1,1,5200.0,0,0,от 10000 до 20000 руб.,3400.0,6,2000.0,8.0,1,1.0
18,59913736,1,34,1,0,0,0,0,35000.0,0,0,свыше 50000 руб.,7290.0,6,1300.0,13.0,1,1.0
